LMPK00000001,Zaragozic acid A,"1S-((4S-acetoxy-5R-methyl-3-methylene-6-phenylhexyl)-6-(E)-4S,6S-dimethyloct-2-enoyloxy)-4,7S-dihydroxy-2,8-dioxabicyclo[3.2.1]octane-3S,4S,5R-tricarboxylic acid ",C35H46O14   ,690.2888,Polyketides [PK],Other Polyketides [PK00],
LMPK01000055,Trichostatin,-,C17H22N2O3   ,302.163,Polyketides [PK],Linear polyketides [PK01],
LMPK01000056,Tautomycetin,-,C33H50O10   ,606.3404,Polyketides [PK],Linear polyketides [PK01],
LMPK01000057,Mannosyl-1beta-phosphomycoketide C32,"(4S,8S,12S,16S,20S-Pentamethylheptacosanyl)-beta-D-mannosyl phosphate",C38H77O9P   ,708.5305,Polyketides [PK],Linear polyketides [PK01],
LMPK01000058,Mannosyl-1beta-phosphomycoketide C30,"(4S,8S,12S,16S,20S-Pentamethylpentacosanyl)-beta-D-mannosyl phosphate",C36H73O9P   ,680.4992,Polyketides [PK],Linear polyketides [PK01],
LMPK01000059,Mannosyl-1beta-phosphomycoketide C31,"(4S,8S,12S,16S,20S-Pentamethylhexacosanyl)-beta-D-mannosyl phosphate",C37H75O9P   ,694.5149,Polyketides [PK],Linear polyketides [PK01],
LMPK01000060,Mannosyl-1beta-phosphomycoketide C33,"(4S,8S,12S,16S,20S-Pentamethyloctacosanyl)-beta-D-mannosyl phosphate",C39H79O9P   ,722.5462,Polyketides [PK],Linear polyketides [PK01],
LMPK01000061,Mannosyl-1beta-phosphomycoketide C34,"(4S,8S,12S,16S,20S-Pentamethylnonacosanyl)-beta-D-mannosyl phosphate",C40H81O9P   ,736.5618,Polyketides [PK],Linear polyketides [PK01],
LMPK02000053,Laurenenyne A,-,C15H18Br2O2   ,387.9674,Polyketides [PK],Halogenated acetogenins  [PK02],
LMPK02000054,Laurenenyne B,-,C15H18Br2O2   ,387.9674,Polyketides [PK],Halogenated acetogenins  [PK02],
LMPK03000010,Rolliniastatin-1,-,C37H66O7   ,622.4809,Polyketides [PK],Annonaceae acetogenins  [PK03],
LMPK03000011,Rolliniastatin-2,-,C37H66O7   ,622.4809,Polyketides [PK],Annonaceae acetogenins  [PK03],
LMPK03000012,Squamocin,-,C37H66O7   ,622.4809,Polyketides [PK],Annonaceae acetogenins  [PK03],
LMPK04000001,epothilone D,-,C27H41NO5S   ,491.2705,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000002,6-deoxyerythronolide B,-,C21H38O6   ,386.2668,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000003,Tacrolimus,-,C44H69NO12   ,803.482,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000004,Tylosin,-,C46H77NO17   ,915.5192,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000005,Spiramycin,-,C44H76N2O13   ,840.5347,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000006,Erythromycin,-,C37H67NO13   ,733.4612,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000007,Oleandomycin,-,C35H61NO12   ,687.4194,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000009,Erythromycin C,-,C36H65NO13   ,719.4456,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000010,Erythromycin D,-,C36H65NO12   ,703.4507,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000011,Erythromycin E,-,C37H65NO14   ,747.4405,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000012,Erythromycin B,-,C37H67NO12   ,717.4663,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000013,Azithromycin,-,C38H72N2O12   ,748.5085,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000014,Clarithromycin,-,C38H69NO13   ,747.4769,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000015,Erythromycin estolate,-,C52H97NO18S   ,1055.6426,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000016,Zearalenone,-,C18H22O5   ,318.1467,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000017,Maytansine,-,C34H46ClN3O10   ,691.2872,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000018,Avermectin B2b,-,C47H72O15   ,876.4871,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000019,Avermectin A2b,-,C48H74O15   ,890.5028,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000020,Avermectin B1b,-,C47H70O14   ,858.4766,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000021,Avermectin A1b,-,C48H72O14   ,872.4922,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000022,Avermectin B2a,-,C48H74O15   ,890.5028,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000023,Avermectin A2a,-,C49H76O15   ,904.5184,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000024,Avermectin B1a,-,C48H72O14   ,872.4922,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000025,Avermectin A1a,-,C49H74O14   ,886.5079,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000026,Megalomicin A,-,C44H80N2O15   ,876.5559,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000027,Megalomicin B,-,C46H82N2O16   ,918.5664,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000028,Megalomicin C1,-,C48H84N2O17   ,960.577,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000029,Megalomicin C2,-,C49H86N2O17   ,974.5927,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000030,"8,8a-Deoxyoleandolide",-,C20H36O6   ,372.2512,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000031,Oleandolide,-,C20H34O7   ,386.2305,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000032,L-Olivosyl-oleandolide,-,C26H44O10   ,516.2935,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000033,L-Oleandrosyl-oleandolide,-,C27H46O10   ,530.3091,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000034,10-Deoxymethynolide,-,C17H28O4   ,296.1988,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000035,10-Deoxymethymycin,-,C25H43NO6   ,453.309,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000036,Neomethymycin,-,C25H43NO7   ,469.304,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000037,Methymycin,-,C25H43NO7   ,469.304,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000038,Pikromycin,-,C28H47NO8   ,525.3302,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000039,Ansamitocin P3,-,C32H43ClN2O9   ,634.2657,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000040,Epothilone A,-,C26H39NO6S   ,493.2498,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000041,Epothilone B,-,C27H41NO6S   ,507.2655,Polyketides [PK],Macrolides and lactone polyketides [PK04],
LMPK04000042,Troleandomycin,-,C41H67NO15   ,813.4511,Polyketides [PK],Macrolides and lactone polyketides [PK04],
